trade_date,trade_symbol,factor_value
2021-07-19,000001.SZ,
2021-07-19,000333.SZ,
2021-07-19,000858.SZ,
2021-07-19,002027.SZ,
2021-07-19,002230.SZ,
2021-07-19,002415.SZ,
2021-07-19,002594.SZ,
2021-07-19,002714.SZ,
2021-07-19,300015.SZ,
2021-07-19,300124.SZ,
2021-07-19,300750.SZ,
2021-07-19,600030.SH,
2021-07-19,600050.SH,
2021-07-19,600276.SH,
2021-07-19,600309.SH,
2021-07-19,600900.SH,
2021-07-19,601088.SH,
2021-07-19,601318.SH,
2021-07-19,601668.SH,
2021-07-19,688008.SH,
2021-07-20,000001.SZ,
2021-07-20,000333.SZ,
2021-07-20,000858.SZ,
2021-07-20,002027.SZ,
2021-07-20,002230.SZ,
2021-07-20,002415.SZ,
2021-07-20,002594.SZ,
2021-07-20,002714.SZ,
2021-07-20,300015.SZ,
2021-07-20,300124.SZ,
2021-07-20,300750.SZ,
2021-07-20,600030.SH,
2021-07-20,600050.SH,
2021-07-20,600276.SH,
2021-07-20,600309.SH,
2021-07-20,600900.SH,
2021-07-20,601088.SH,
2021-07-20,601318.SH,
2021-07-20,601668.SH,
2021-07-20,688008.SH,
2021-07-21,000001.SZ,
2021-07-21,000333.SZ,
2021-07-21,000858.SZ,
2021-07-21,002027.SZ,
2021-07-21,002230.SZ,
2021-07-21,002415.SZ,
2021-07-21,002594.SZ,
2021-07-21,002714.SZ,
2021-07-21,300015.SZ,
2021-07-21,300124.SZ,
2021-07-21,300750.SZ,
2021-07-21,600030.SH,
2021-07-21,600050.SH,
2021-07-21,600276.SH,
2021-07-21,600309.SH,
2021-07-21,600900.SH,
2021-07-21,601088.SH,
2021-07-21,601318.SH,
2021-07-21,601668.SH,
2021-07-21,688008.SH,
2021-07-22,000001.SZ,
2021-07-22,000333.SZ,
2021-07-22,000858.SZ,
2021-07-22,002027.SZ,
2021-07-22,002230.SZ,
2021-07-22,002415.SZ,
2021-07-22,002594.SZ,
2021-07-22,002714.SZ,
2021-07-22,300015.SZ,
2021-07-22,300124.SZ,
2021-07-22,300750.SZ,
2021-07-22,600030.SH,
2021-07-22,600050.SH,
2021-07-22,600276.SH,
2021-07-22,600309.SH,
2021-07-22,600900.SH,
2021-07-22,601088.SH,
2021-07-22,601318.SH,
2021-07-22,601668.SH,
2021-07-22,688008.SH,
2021-07-23,000001.SZ,
2021-07-23,000333.SZ,
2021-07-23,000858.SZ,
2021-07-23,002027.SZ,
2021-07-23,002230.SZ,
2021-07-23,002415.SZ,
2021-07-23,002594.SZ,
2021-07-23,002714.SZ,
2021-07-23,300015.SZ,
2021-07-23,300124.SZ,
2021-07-23,300750.SZ,
2021-07-23,600030.SH,
2021-07-23,600050.SH,
2021-07-23,600276.SH,
2021-07-23,600309.SH,
2021-07-23,600900.SH,
2021-07-23,601088.SH,
2021-07-23,601318.SH,
2021-07-23,601668.SH,
2021-07-23,688008.SH,
2021-07-26,000001.SZ,
2021-07-26,000333.SZ,
2021-07-26,000858.SZ,
2021-07-26,002027.SZ,
2021-07-26,002230.SZ,
2021-07-26,002415.SZ,
2021-07-26,002594.SZ,
2021-07-26,002714.SZ,
2021-07-26,300015.SZ,
2021-07-26,300124.SZ,
2021-07-26,300750.SZ,
2021-07-26,600030.SH,
2021-07-26,600050.SH,
2021-07-26,600276.SH,
2021-07-26,600309.SH,
2021-07-26,600900.SH,
2021-07-26,601088.SH,
2021-07-26,601318.SH,
2021-07-26,601668.SH,
2021-07-26,688008.SH,
2021-07-27,000001.SZ,
2021-07-27,000333.SZ,
2021-07-27,000858.SZ,
2021-07-27,002027.SZ,
2021-07-27,002230.SZ,
2021-07-27,002415.SZ,
2021-07-27,002594.SZ,
2021-07-27,002714.SZ,
2021-07-27,300015.SZ,
2021-07-27,300124.SZ,
2021-07-27,300750.SZ,
2021-07-27,600030.SH,
2021-07-27,600050.SH,
2021-07-27,600276.SH,
2021-07-27,600309.SH,
2021-07-27,600900.SH,
2021-07-27,601088.SH,
2021-07-27,601318.SH,
2021-07-27,601668.SH,
2021-07-27,688008.SH,
2021-07-28,000001.SZ,
2021-07-28,000333.SZ,
2021-07-28,000858.SZ,
2021-07-28,002027.SZ,
2021-07-28,002230.SZ,
2021-07-28,002415.SZ,
2021-07-28,002594.SZ,
2021-07-28,002714.SZ,
2021-07-28,300015.SZ,
2021-07-28,300124.SZ,
2021-07-28,300750.SZ,
2021-07-28,600030.SH,
2021-07-28,600050.SH,
2021-07-28,600276.SH,
2021-07-28,600309.SH,
2021-07-28,600900.SH,
2021-07-28,601088.SH,
2021-07-28,601318.SH,
2021-07-28,601668.SH,
2021-07-28,688008.SH,
2021-07-29,000001.SZ,-83.29170829170792
2021-07-29,000333.SZ,-268.279939684135
2021-07-29,000858.SZ,-291.17014086824673
2021-07-29,002027.SZ,-122.07231516459794
2021-07-29,002230.SZ,-60.313240215458265
2021-07-29,002415.SZ,-131.98678056756114
2021-07-29,002594.SZ,-237.9776406399485
2021-07-29,002714.SZ,-166.43965790307215
2021-07-29,300015.SZ,-424.3218512027547
2021-07-29,300124.SZ,-267.1488448735374
2021-07-29,300750.SZ,-418.5070194384454
2021-07-29,600030.SH,-10.590510188903835
2021-07-29,600050.SH,-74.6753246753239
2021-07-29,600276.SH,-125.54149757300941
2021-07-29,600309.SH,-243.14545988458218
2021-07-29,600900.SH,-227.58310871518285
2021-07-29,601088.SH,-51.097858498237464
2021-07-29,601318.SH,-67.1049989961858
2021-07-29,601668.SH,-11.95652173913069
2021-07-29,688008.SH,-81.70531078093666
2021-07-30,000001.SZ,-82.58818589034804
2021-07-30,000333.SZ,-272.4002394628013
2021-07-30,000858.SZ,-278.8505374037041
2021-07-30,002027.SZ,-126.29369790729749
2021-07-30,002230.SZ,-63.47658800070084
2021-07-30,002415.SZ,-136.09382459431265
2021-07-30,002594.SZ,-241.51131115641977
2021-07-30,002714.SZ,-180.27092969137098
2021-07-30,300015.SZ,-420.41261914239897
2021-07-30,300124.SZ,-266.4048959878548
2021-07-30,300750.SZ,-402.2104845088218
2021-07-30,600030.SH,-13.454768742586808
2021-07-30,600050.SH,-78.75180375180291
2021-07-30,600276.SH,-125.79539441625775
2021-07-30,600309.SH,-243.7915457922049
2021-07-30,600900.SH,-231.4864729959055
2021-07-30,601088.SH,-49.79487475534229
2021-07-30,601318.SH,-75.78475933833735
2021-07-30,601668.SH,-7.116313638053022
2021-07-30,688008.SH,-79.85037055745474
2021-08-02,000001.SZ,-90.68491991064931
2021-08-02,000333.SZ,-257.3818459129582
2021-08-02,000858.SZ,-299.14088487874943
2021-08-02,002027.SZ,-116.59571065939119
2021-08-02,002230.SZ,-57.5772618299448
2021-08-02,002415.SZ,-130.3716706731955
2021-08-02,002594.SZ,-261.5335461266648
2021-08-02,002714.SZ,-188.48450313164344
2021-08-02,300015.SZ,-403.42815324901994
2021-08-02,300124.SZ,-218.5608429608518
2021-08-02,300750.SZ,-362.2464595024875
2021-08-02,600030.SH,-0.39104285387673343
2021-08-02,600050.SH,-83.48003848003745
2021-08-02,600276.SH,-132.35075192961577
2021-08-02,600309.SH,-244.90283674980373
2021-08-02,600900.SH,-239.08508224190797
2021-08-02,601088.SH,-46.727878802778136
2021-08-02,601318.SH,-90.81631505215287
2021-08-02,601668.SH,-7.806887154713436
2021-08-02,688008.SH,-81.20360344941281
2021-08-03,000001.SZ,-116.45449524400887
2021-08-03,000333.SZ,-213.0563566066258
2021-08-03,000858.SZ,-359.6259698789589
2021-08-03,002027.SZ,-117.00745537766585
2021-08-03,002230.SZ,-58.889453977584665
2021-08-03,002415.SZ,-123.9312872106064
2021-08-03,002594.SZ,-285.18328373315603
2021-08-03,002714.SZ,-229.32466362588636
2021-08-03,300015.SZ,-370.06550234567226
2021-08-03,300124.SZ,-204.44633464889975
2021-08-03,300750.SZ,-328.6349809451227
2021-08-03,600030.SH,-6.4070625258849105
2021-08-03,600050.SH,-97.97258297258162
2021-08-03,600276.SH,-156.8930842771104
2021-08-03,600309.SH,-269.19971039581475
