trade_date,trade_symbol,factor_value
2021-07-19,000001.SZ,
2021-07-19,000333.SZ,
2021-07-19,000858.SZ,
2021-07-19,002027.SZ,
2021-07-19,002230.SZ,
2021-07-19,002415.SZ,
2021-07-19,002594.SZ,
2021-07-19,002714.SZ,
2021-07-19,300015.SZ,
2021-07-19,300124.SZ,
2021-07-19,300750.SZ,
2021-07-19,600030.SH,
2021-07-19,600050.SH,
2021-07-19,600276.SH,
2021-07-19,600309.SH,
2021-07-19,600900.SH,
2021-07-19,601088.SH,
2021-07-19,601318.SH,
2021-07-19,601668.SH,
2021-07-19,688008.SH,
2021-07-20,000001.SZ,-2306655.864754091
2021-07-20,000333.SZ,-173210.8500000007
2021-07-20,000858.SZ,65261.810815407225
2021-07-20,002027.SZ,-785415.6560509561
2021-07-20,002230.SZ,-1091218.4319526653
2021-07-20,002415.SZ,261640.95976907643
2021-07-20,002594.SZ,391396.012413795
2021-07-20,002714.SZ,405746.94191919174
2021-07-20,300015.SZ,-15937.466328167358
2021-07-20,300124.SZ,1434823.5464201993
2021-07-20,300750.SZ,112863.69362617671
2021-07-20,600030.SH,-351077.4592668074
2021-07-20,600050.SH,-1010609.7433155088
2021-07-20,600276.SH,2911826.2189121335
2021-07-20,600309.SH,-862181.9056249986
2021-07-20,600900.SH,-139012.19890510925
2021-07-20,601088.SH,-309131.3691376711
2021-07-20,601318.SH,-680773.1969696997
2021-07-20,601668.SH,-324053.25479451363
2021-07-20,688008.SH,18805.042673249944
2021-07-21,000001.SZ,-544720.8101265868
2021-07-21,000333.SZ,-1205006.3709967588
2021-07-21,000858.SZ,-57589.103637901644
2021-07-21,002027.SZ,1181506.730645151
2021-07-21,002230.SZ,1208260.2689303912
2021-07-21,002415.SZ,4556800.869433028
2021-07-21,002594.SZ,2842511.450916495
2021-07-21,002714.SZ,-1720556.1817427434
2021-07-21,300015.SZ,336745.70419898315
2021-07-21,300124.SZ,3313381.0023866296
2021-07-21,300750.SZ,956179.6714727106
2021-07-21,600030.SH,736614.4571575242
2021-07-21,600050.SH,-135021.77445652487
2021-07-21,600276.SH,-179096.1537219467
2021-07-21,600309.SH,225236.18819835607
2021-07-21,600900.SH,-822387.1559633095
2021-07-21,601088.SH,-341484.5230769219
2021-07-21,601318.SH,-374160.19252747146
2021-07-21,601668.SH,-1740350.7582417598
2021-07-21,688008.SH,341755.13141250797
2021-07-22,000001.SZ,-316447.3916211226
2021-07-22,000333.SZ,197511.78610906412
2021-07-22,000858.SZ,-56514.720540150745
2021-07-22,002027.SZ,3294643.177033507
2021-07-22,002230.SZ,4114855.366414716
2021-07-22,002415.SZ,33009.184683157546
2021-07-22,002594.SZ,1199811.9797669356
2021-07-22,002714.SZ,49910.413889486335
2021-07-22,300015.SZ,-851372.6912733993
2021-07-22,300124.SZ,-300483.41045898973
2021-07-22,300750.SZ,25482.287286830982
2021-07-22,600030.SH,1341947.2309257456
2021-07-22,600050.SH,352198.866485014
2021-07-22,600276.SH,-1263908.3492629167
2021-07-22,600309.SH,140451.2093872696
2021-07-22,600900.SH,-453051.045313466
2021-07-22,601088.SH,91388.27500000008
2021-07-22,601318.SH,506925.3961512931
2021-07-22,601668.SH,639858.3722222227
2021-07-22,688008.SH,805298.7748478707
2021-07-23,000001.SZ,-975191.6672760461
2021-07-23,000333.SZ,-832989.7216211262
2021-07-23,000858.SZ,-674309.8669849922
2021-07-23,002027.SZ,-10743661.391575681
2021-07-23,002230.SZ,-1789261.0344399572
2021-07-23,002415.SZ,-80567.03589569886
2021-07-23,002594.SZ,1800187.554907552
2021-07-23,002714.SZ,-6056664.594246453
2021-07-23,300015.SZ,-1027650.0414634128
2021-07-23,300124.SZ,-178137.49816199756
2021-07-23,300750.SZ,-168546.81218840452
2021-07-23,600030.SH,634438.2515060231
2021-07-23,600050.SH,-179065.55284552465
2021-07-23,600276.SH,120233.09805227406
2021-07-23,600309.SH,-702098.0155102037
2021-07-23,600900.SH,-105155.38885410386
2021-07-23,601088.SH,34755.04503105515
2021-07-23,601318.SH,-924316.7640991892
2021-07-23,601668.SH,2153560.574585637
2021-07-23,688008.SH,25121.0810162989
2021-07-26,000001.SZ,-9412409.74058061
2021-07-26,000333.SZ,-1940954.7964833523
2021-07-26,000858.SZ,-3691189.517062219
2021-07-26,002027.SZ,-5926701.219672103
2021-07-26,002230.SZ,387515.85804263456
2021-07-26,002415.SZ,-2932069.513994918
2021-07-26,002594.SZ,-1584099.1487938864
2021-07-26,002714.SZ,-1494279.590397428
2021-07-26,300015.SZ,-10555851.163259594
2021-07-26,300124.SZ,-1599156.7174246293
2021-07-26,300750.SZ,-168122.86738860156
2021-07-26,600030.SH,-3770393.44677663
2021-07-26,600050.SH,-2576602.2961956607
2021-07-26,600276.SH,-1709145.8805375854
2021-07-26,600309.SH,-303678.8790684618
2021-07-26,600900.SH,105933.22787194217
2021-07-26,601088.SH,-824253.8511627935
2021-07-26,601318.SH,-6390258.124832807
2021-07-26,601668.SH,-4578515.03825137
2021-07-26,688008.SH,644230.5257452592
2021-07-27,000001.SZ,-7531989.717305151
2021-07-27,000333.SZ,-3139021.543377224
2021-07-27,000858.SZ,-3119596.578456239
2021-07-27,002027.SZ,-15166881.929292934
2021-07-27,002230.SZ,-5969714.034399615
2021-07-27,002415.SZ,-6117281.315068488
2021-07-27,002594.SZ,-1497496.8530947047
2021-07-27,002714.SZ,-5153002.173913043
2021-07-27,300015.SZ,-1708847.2534375011
2021-07-27,300124.SZ,-579238.9789108419
2021-07-27,300750.SZ,-1480694.8547475985
2021-07-27,600030.SH,-2573575.6257731877
2021-07-27,600050.SH,-193595.54596099866
2021-07-27,600276.SH,-6468013.810852706
2021-07-27,600309.SH,-1096917.0270475487
2021-07-27,600900.SH,-1467318.8603631859
2021-07-27,601088.SH,-400135.87320574146
2021-07-27,601318.SH,-3143317.422913723
2021-07-27,601668.SH,-2852208.368715086
2021-07-27,688008.SH,-434487.63639134786
2021-07-28,000001.SZ,0.0
2021-07-28,000333.SZ,1462145.2570379437
2021-07-28,000858.SZ,863817.5476571776
2021-07-28,002027.SZ,8314247.9150090255
2021-07-28,002230.SZ,-65380.431434046346
2021-07-28,002415.SZ,219296.24764595102
2021-07-28,002594.SZ,-305242.6909537957
2021-07-28,002714.SZ,-4013467.654120036
2021-07-28,300015.SZ,2385467.0048215995
2021-07-28,300124.SZ,204320.08264238495
2021-07-28,300750.SZ,1318639.989837954
2021-07-28,600030.SH,-130428.12215759352
2021-07-28,600050.SH,797850.2011173134
2021-07-28,600276.SH,1353444.2482216354
2021-07-28,600309.SH,-849319.3852573022
2021-07-28,600900.SH,1340133.4980695026
2021-07-28,601088.SH,-217855.86257073452
2021-07-28,601318.SH,695230.0678048851
2021-07-28,601668.SH,-1561469.0000000128
2021-07-28,688008.SH,-239245.23476367985
2021-07-29,000001.SZ,1037092.8699300694
2021-07-29,000333.SZ,15546.819081548767
2021-07-29,000858.SZ,-216505.29571139888
2021-07-29,002027.SZ,4542752.541666671
2021-07-29,002230.SZ,911134.9425929163
2021-07-29,002415.SZ,1303587.3402061844
2021-07-29,002594.SZ,3753006.8377742963
2021-07-29,002714.SZ,1252510.5633652734
2021-07-29,300015.SZ,3389579.689506171
2021-07-29,300124.SZ,1368526.0645684155
2021-07-29,300750.SZ,1126141.4187689594
2021-07-29,600030.SH,545341.1567796656
2021-07-29,600050.SH,-807056.5761772861
2021-07-29,600276.SH,-754557.5813868556
2021-07-29,600309.SH,1721435.0234981638
2021-07-29,600900.SH,-339102.10943396366
2021-07-29,601088.SH,0.0
2021-07-29,601318.SH,204355.31253023597
2021-07-29,601668.SH,-2080382.222222201
2021-07-29,688008.SH,425503.81066962134
2021-07-30,000001.SZ,-1444604.6551485874
2021-07-30,000333.SZ,141199.81361298123
2021-07-30,000858.SZ,-2602708.988111568
2021-07-30,002027.SZ,-3234835.6190476217
2021-07-30,002230.SZ,-565734.1577158412
2021-07-30,002415.SZ,-1501102.8899999987
2021-07-30,002594.SZ,1336686.7591880814
