trade_date,trade_symbol,factor_value
2021-07-19,000001.SZ,
2021-07-19,000333.SZ,
2021-07-19,000858.SZ,
2021-07-19,002027.SZ,
2021-07-19,002230.SZ,
2021-07-19,002415.SZ,
2021-07-19,002594.SZ,
2021-07-19,002714.SZ,
2021-07-19,300015.SZ,
2021-07-19,300124.SZ,
2021-07-19,300750.SZ,
2021-07-19,600030.SH,
2021-07-19,600050.SH,
2021-07-19,600276.SH,
2021-07-19,600309.SH,
2021-07-19,600900.SH,
2021-07-19,601088.SH,
2021-07-19,601318.SH,
2021-07-19,601668.SH,
2021-07-19,688008.SH,
2021-07-20,000001.SZ,-1.5776689535134898e-09
2021-07-20,000333.SZ,5.403818525224997e-09
2021-07-20,000858.SZ,8.659318085330683e-07
2021-07-20,002027.SZ,-4.460293968406176e-11
2021-07-20,002230.SZ,-3.9144970517081726e-08
2021-07-20,002415.SZ,8.671122867219506e-08
2021-07-20,002594.SZ,5.0233098598799005e-08
2021-07-20,002714.SZ,-2.188713903457707e-08
2021-07-20,300015.SZ,1.7817499208851557e-08
2021-07-20,300124.SZ,4.0306023795540374e-07
2021-07-20,300750.SZ,-8.406377054749541e-07
2021-07-20,600030.SH,3.23052631125538e-10
2021-07-20,600050.SH,1.5874357886192544e-11
2021-07-20,600276.SH,5.931730146474763e-08
2021-07-20,600309.SH,-4.784515278141539e-07
2021-07-20,600900.SH,2.067507466163162e-10
2021-07-20,601088.SH,-1.8087869902995659e-09
2021-07-20,601318.SH,-4.24873402081508e-09
2021-07-20,601668.SH,4.227277441071304e-12
2021-07-20,688008.SH,1.4719617380531443e-08
2021-07-21,000001.SZ,-1.6010210833034372e-09
2021-07-21,000333.SZ,2.0808864772841012e-09
2021-07-21,000858.SZ,8.24743538161028e-07
2021-07-21,002027.SZ,-2.2092376201251466e-11
2021-07-21,002230.SZ,-2.9467298116862023e-08
2021-07-21,002415.SZ,9.250580149540796e-08
2021-07-21,002594.SZ,1.0223455994334461e-07
2021-07-21,002714.SZ,-2.1668996340431732e-08
2021-07-21,300015.SZ,1.726371671768832e-08
2021-07-21,300124.SZ,4.113095581801763e-07
2021-07-21,300750.SZ,8.378636604007339e-08
2021-07-21,600030.SH,3.436058268265965e-10
2021-07-21,600050.SH,1.2147730564586713e-11
2021-07-21,600276.SH,5.8600190247618544e-08
2021-07-21,600309.SH,-3.9194445161722163e-07
2021-07-21,600900.SH,8.993830714260489e-11
2021-07-21,601088.SH,-1.7856678461833072e-09
2021-07-21,601318.SH,-4.063581500060237e-09
2021-07-21,601668.SH,2.9059303652361803e-12
2021-07-21,688008.SH,8.250171865500138e-08
2021-07-22,000001.SZ,-1.408426956022079e-09
2021-07-22,000333.SZ,-6.851528654834263e-10
2021-07-22,000858.SZ,6.624185291441069e-07
2021-07-22,002027.SZ,1.7721395360325835e-11
2021-07-22,002230.SZ,7.91254241415567e-09
2021-07-22,002415.SZ,8.973127789393974e-08
2021-07-22,002594.SZ,1.138452135572917e-07
2021-07-22,002714.SZ,-2.1170089746307146e-08
2021-07-22,300015.SZ,1.5002927194937e-08
2021-07-22,300124.SZ,3.51096188848323e-07
2021-07-22,300750.SZ,8.704116087911501e-07
2021-07-22,600030.SH,3.612575903126119e-10
2021-07-22,600050.SH,1.0528033155975152e-11
2021-07-22,600276.SH,4.414011354579826e-08
2021-07-22,600309.SH,-2.998536747653729e-07
2021-07-22,600900.SH,-2.947055778915654e-11
2021-07-22,601088.SH,-1.5886125103127642e-09
2021-07-22,601318.SH,-3.687857720521366e-09
2021-07-22,601668.SH,2.229057085524027e-12
2021-07-22,688008.SH,1.7144940144174387e-07
2021-07-23,000001.SZ,-1.3361157988422888e-09
2021-07-23,000333.SZ,-4.114693443416414e-09
2021-07-23,000858.SZ,1.857614704509569e-07
2021-07-23,002027.SZ,-1.858230607150469e-11
2021-07-23,002230.SZ,-7.016737038450682e-09
2021-07-23,002415.SZ,7.180262479206581e-08
2021-07-23,002594.SZ,1.4340174960482599e-07
2021-07-23,002714.SZ,-3.388948335209426e-08
2021-07-23,300015.SZ,5.3855902378201504e-09
2021-07-23,300124.SZ,2.880922438663414e-07
2021-07-23,300750.SZ,7.748620246838233e-07
2021-07-23,600030.SH,5.553590668959629e-10
2021-07-23,600050.SH,1.0637722779253033e-11
2021-07-23,600276.SH,3.210021075221111e-08
2021-07-23,600309.SH,-3.11373849215197e-07
2021-07-23,600900.SH,-1.3225027427856594e-10
2021-07-23,601088.SH,-1.1099193532468829e-09
2021-07-23,601318.SH,-3.3461631283681998e-09
2021-07-23,601668.SH,3.8473889074019e-12
2021-07-23,688008.SH,2.021542790353706e-07
2021-07-26,000001.SZ,-2.072454999836389e-09
2021-07-26,000333.SZ,-1.253901068348947e-08
2021-07-26,000858.SZ,-6.934428129517191e-07
2021-07-26,002027.SZ,-6.992057530202085e-11
2021-07-26,002230.SZ,6.551935975869491e-09
2021-07-26,002415.SZ,5.916511855449056e-08
2021-07-26,002594.SZ,1.0380322331477238e-07
2021-07-26,002714.SZ,-3.691904745487982e-08
2021-07-26,300015.SZ,-1.250313583825178e-08
2021-07-26,300124.SZ,2.1113208581673779e-07
2021-07-26,300750.SZ,-7.884772029679314e-07
2021-07-26,600030.SH,1.8247854755950876e-10
2021-07-26,600050.SH,1.0725854416236745e-13
2021-07-26,600276.SH,1.9641623458046073e-08
2021-07-26,600309.SH,-4.1851139379116406e-07
2021-07-26,600900.SH,-1.1461690437475716e-10
2021-07-26,601088.SH,-1.6264352576365808e-09
2021-07-26,601318.SH,-7.609202905868548e-09
2021-07-26,601668.SH,1.902197645421494e-12
2021-07-26,688008.SH,2.369880283888056e-07
2021-07-27,000001.SZ,-2.5991420268593564e-09
2021-07-27,000333.SZ,-1.9619274923857062e-08
2021-07-27,000858.SZ,-1.2488367018160259e-06
2021-07-27,002027.SZ,-1.2203552137324001e-10
2021-07-27,002230.SZ,-3.6059973579691874e-08
2021-07-27,002415.SZ,3.093566690108952e-08
2021-07-27,002594.SZ,6.83539918009801e-08
2021-07-27,002714.SZ,-4.492600144396587e-08
2021-07-27,300015.SZ,-1.4635859178188557e-08
2021-07-27,300124.SZ,1.62822872502052e-07
2021-07-27,300750.SZ,-2.0340373773483295e-06
2021-07-27,600030.SH,-3.38453317035443e-10
2021-07-27,600050.SH,-1.82548571247511e-12
2021-07-27,600276.SH,-9.76801377506528e-09
2021-07-27,600309.SH,-4.3805054457085145e-07
2021-07-27,600900.SH,-4.1446747294842906e-10
2021-07-27,601088.SH,-1.667968984156567e-09
2021-07-27,601318.SH,-1.0989480430496952e-08
2021-07-27,601668.SH,-1.6420280068761815e-12
2021-07-27,688008.SH,3.99279120151433e-07
2021-07-28,000001.SZ,-2.3867391232387547e-09
2021-07-28,000333.SZ,-2.051299482221855e-08
2021-07-28,000858.SZ,-1.369053746788058e-06
2021-07-28,002027.SZ,-1.2817493857945186e-10
2021-07-28,002230.SZ,-5.687631392844827e-08
2021-07-28,002415.SZ,9.232566605207757e-09
2021-07-28,002594.SZ,-4.8714162044734305e-08
2021-07-28,002714.SZ,-5.670878491014999e-08
2021-07-28,300015.SZ,-1.3532337539664457e-08
2021-07-28,300124.SZ,1.020788097627043e-07
2021-07-28,300750.SZ,-2.5185673023572638e-06
2021-07-28,600030.SH,-3.7360529420464635e-10
2021-07-28,600050.SH,-5.083115862471855e-12
2021-07-28,600276.SH,-2.0919797950638374e-08
2021-07-28,600309.SH,-4.7519445851555786e-07
2021-07-28,600900.SH,-3.7119034923683024e-10
2021-07-28,601088.SH,-1.938928966071863e-09
2021-07-28,601318.SH,-1.0011831759352386e-08
2021-07-28,601668.SH,-2.870373597897944e-12
2021-07-28,688008.SH,1.0947572504319062e-07
2021-07-29,000001.SZ,-2.006301798001625e-09
2021-07-29,000333.SZ,-1.3270816584578448e-08
2021-07-29,000858.SZ,-8.847130059195786e-07
2021-07-29,002027.SZ,-5.1160436304031786e-11
2021-07-29,002230.SZ,-3.72162198810636e-08
2021-07-29,002415.SZ,1.778186483770302e-08
