trade_date,trade_symbol,factor_value
2021-07-19,000001.SZ,
2021-07-19,000333.SZ,
2021-07-19,000858.SZ,
2021-07-19,002027.SZ,
2021-07-19,002230.SZ,
2021-07-19,002415.SZ,
2021-07-19,002594.SZ,
2021-07-19,002714.SZ,
2021-07-19,300015.SZ,
2021-07-19,300124.SZ,
2021-07-19,300750.SZ,
2021-07-19,600030.SH,
2021-07-19,600050.SH,
2021-07-19,600276.SH,
2021-07-19,600309.SH,
2021-07-19,600900.SH,
2021-07-19,601088.SH,
2021-07-19,601318.SH,
2021-07-19,601668.SH,
2021-07-19,688008.SH,
2021-07-20,000001.SZ,
2021-07-20,000333.SZ,
2021-07-20,000858.SZ,
2021-07-20,002027.SZ,
2021-07-20,002230.SZ,
2021-07-20,002415.SZ,
2021-07-20,002594.SZ,
2021-07-20,002714.SZ,
2021-07-20,300015.SZ,
2021-07-20,300124.SZ,
2021-07-20,300750.SZ,
2021-07-20,600030.SH,
2021-07-20,600050.SH,
2021-07-20,600276.SH,
2021-07-20,600309.SH,
2021-07-20,600900.SH,
2021-07-20,601088.SH,
2021-07-20,601318.SH,
2021-07-20,601668.SH,
2021-07-20,688008.SH,
2021-07-21,000001.SZ,
2021-07-21,000333.SZ,
2021-07-21,000858.SZ,
2021-07-21,002027.SZ,
2021-07-21,002230.SZ,
2021-07-21,002415.SZ,
2021-07-21,002594.SZ,
2021-07-21,002714.SZ,
2021-07-21,300015.SZ,
2021-07-21,300124.SZ,
2021-07-21,300750.SZ,
2021-07-21,600030.SH,
2021-07-21,600050.SH,
2021-07-21,600276.SH,
2021-07-21,600309.SH,
2021-07-21,600900.SH,
2021-07-21,601088.SH,
2021-07-21,601318.SH,
2021-07-21,601668.SH,
2021-07-21,688008.SH,
2021-07-22,000001.SZ,
2021-07-22,000333.SZ,
2021-07-22,000858.SZ,
2021-07-22,002027.SZ,
2021-07-22,002230.SZ,
2021-07-22,002415.SZ,
2021-07-22,002594.SZ,
2021-07-22,002714.SZ,
2021-07-22,300015.SZ,
2021-07-22,300124.SZ,
2021-07-22,300750.SZ,
2021-07-22,600030.SH,
2021-07-22,600050.SH,
2021-07-22,600276.SH,
2021-07-22,600309.SH,
2021-07-22,600900.SH,
2021-07-22,601088.SH,
2021-07-22,601318.SH,
2021-07-22,601668.SH,
2021-07-22,688008.SH,
2021-07-23,000001.SZ,
2021-07-23,000333.SZ,
2021-07-23,000858.SZ,
2021-07-23,002027.SZ,
2021-07-23,002230.SZ,
2021-07-23,002415.SZ,
2021-07-23,002594.SZ,
2021-07-23,002714.SZ,
2021-07-23,300015.SZ,
2021-07-23,300124.SZ,
2021-07-23,300750.SZ,
2021-07-23,600030.SH,
2021-07-23,600050.SH,
2021-07-23,600276.SH,
2021-07-23,600309.SH,
2021-07-23,600900.SH,
2021-07-23,601088.SH,
2021-07-23,601318.SH,
2021-07-23,601668.SH,
2021-07-23,688008.SH,
2021-07-26,000001.SZ,-1.9399999999999977
2021-07-26,000333.SZ,-4.359999999999999
2021-07-26,000858.SZ,-26.25
2021-07-26,002027.SZ,-0.33999999999999986
2021-07-26,002230.SZ,1.3699999999999974
2021-07-26,002415.SZ,1.509999999999998
2021-07-26,002594.SZ,7.959999999999994
2021-07-26,002714.SZ,-5.200000000000003
2021-07-26,300015.SZ,-5.420000000000002
2021-07-26,300124.SZ,2.430000000000007
2021-07-26,300750.SZ,8.389999999999986
2021-07-26,600030.SH,-0.240000000000002
2021-07-26,600050.SH,-0.15000000000000036
2021-07-26,600276.SH,-1.7000000000000028
2021-07-26,600309.SH,-6.6299999999999955
2021-07-26,600900.SH,-0.47000000000000064
2021-07-26,601088.SH,-0.6800000000000015
2021-07-26,601318.SH,-3.780000000000001
2021-07-26,601668.SH,-0.06999999999999984
2021-07-26,688008.SH,8.910000000000004
2021-07-27,000001.SZ,-2.009999999999998
2021-07-27,000333.SZ,-4.799999999999999
2021-07-27,000858.SZ,-29.566000000000003
2021-07-27,002027.SZ,-0.40599999999999986
2021-07-27,002230.SZ,0.7939999999999984
2021-07-27,002415.SZ,0.6459999999999995
2021-07-27,002594.SZ,7.091999999999993
2021-07-27,002714.SZ,-5.9360000000000035
2021-07-27,300015.SZ,-5.592000000000001
2021-07-27,300124.SZ,1.5740000000000038
2021-07-27,300750.SZ,3.309999999999991
2021-07-27,600030.SH,-0.3080000000000013
2021-07-27,600050.SH,-0.14000000000000032
2021-07-27,600276.SH,-3.062000000000002
2021-07-27,600309.SH,-6.829999999999998
2021-07-27,600900.SH,-0.538000000000001
2021-07-27,601088.SH,-0.6700000000000014
2021-07-27,601318.SH,-3.9240000000000013
2021-07-27,601668.SH,-0.07599999999999989
2021-07-27,688008.SH,8.608000000000002
2021-07-28,000001.SZ,-2.041999999999998
2021-07-28,000333.SZ,-4.591999999999999
2021-07-28,000858.SZ,-31.11080000000001
2021-07-28,002027.SZ,-0.42679999999999985
2021-07-28,002230.SZ,-0.07480000000000078
2021-07-28,002415.SZ,-0.6172000000000007
2021-07-28,002594.SZ,5.367599999999995
2021-07-28,002714.SZ,-6.538800000000002
2021-07-28,300015.SZ,-5.579600000000002
2021-07-28,300124.SZ,0.11720000000000434
2021-07-28,300750.SZ,-0.5160000000000172
2021-07-28,600030.SH,-0.40240000000000126
2021-07-28,600050.SH,-0.12400000000000028
2021-07-28,600276.SH,-3.835600000000002
2021-07-28,600309.SH,-7.790000000000001
2021-07-28,600900.SH,-0.47240000000000065
2021-07-28,601088.SH,-0.6440000000000013
2021-07-28,601318.SH,-3.9132000000000007
2021-07-28,601668.SH,-0.07879999999999997
2021-07-28,688008.SH,7.688400000000003
2021-07-29,000001.SZ,-2.0215999999999985
2021-07-29,000333.SZ,-4.4716
2021-07-29,000858.SZ,-32.43464000000001
2021-07-29,002027.SZ,-0.44743999999999995
2021-07-29,002230.SZ,-1.1838399999999987
2021-07-29,002415.SZ,-1.3057600000000011
2021-07-29,002594.SZ,4.828079999999996
2021-07-29,002714.SZ,-6.8870400000000025
2021-07-29,300015.SZ,-4.969680000000002
2021-07-29,300124.SZ,-0.2142399999999978
2021-07-29,300750.SZ,-0.44080000000001107
2021-07-29,600030.SH,-0.5059200000000014
2021-07-29,600050.SH,-0.12320000000000025
2021-07-29,600276.SH,-4.278480000000001
2021-07-29,600309.SH,-7.686
2021-07-29,600900.SH,-0.41992000000000074
2021-07-29,601088.SH,-0.6392000000000013
2021-07-29,601318.SH,-3.9545600000000003
2021-07-29,601668.SH,-0.09303999999999996
2021-07-29,688008.SH,6.734720000000003
2021-07-30,000001.SZ,-2.005279999999999
2021-07-30,000333.SZ,-4.12728
2021-07-30,000858.SZ,-34.39771200000001
2021-07-30,002027.SZ,-0.43395199999999995
2021-07-30,002230.SZ,-1.7390719999999993
2021-07-30,002415.SZ,-2.164608000000001
2021-07-30,002594.SZ,4.252463999999998
2021-07-30,002714.SZ,-6.4536320000000025
2021-07-30,300015.SZ,-4.503744000000002
2021-07-30,300124.SZ,-0.7353919999999997
2021-07-30,300750.SZ,-0.0046400000000070135
2021-07-30,600030.SH,-0.6767360000000018
2021-07-30,600050.SH,-0.12056000000000028
2021-07-30,600276.SH,-4.816784000000002
2021-07-30,600309.SH,-7.0808
2021-07-30,600900.SH,-0.30193600000000026
2021-07-30,601088.SH,-0.6233600000000011
2021-07-30,601318.SH,-3.7816479999999997
2021-07-30,601668.SH,-0.10843199999999996
2021-07-30,688008.SH,6.035776000000003
2021-08-02,000001.SZ,-1.7302239999999995
2021-08-02,000333.SZ,-3.0778240000000006
2021-08-02,000858.SZ,-30.04616960000001
2021-08-02,002027.SZ,-0.3491616000000001
2021-08-02,002230.SZ,-1.9452576000000001
2021-08-02,002415.SZ,-2.4096864000000013
2021-08-02,002594.SZ,6.161971200000001
2021-08-02,002714.SZ,-5.4009056000000015
2021-08-02,300015.SZ,-3.4969952000000015
2021-08-02,300124.SZ,0.9336864000000002
2021-08-02,300750.SZ,1.2542879999999985
2021-08-02,600030.SH,-0.579388800000001
