trade_date,trade_symbol,factor_value
2021-07-19,000001.SZ,
2021-07-19,000333.SZ,
2021-07-19,000858.SZ,
2021-07-19,002027.SZ,
2021-07-19,002230.SZ,
2021-07-19,002415.SZ,
2021-07-19,002594.SZ,
2021-07-19,002714.SZ,
2021-07-19,300015.SZ,
2021-07-19,300124.SZ,
2021-07-19,300750.SZ,
2021-07-19,600030.SH,
2021-07-19,600050.SH,
2021-07-19,600276.SH,
2021-07-19,600309.SH,
2021-07-19,600900.SH,
2021-07-19,601088.SH,
2021-07-19,601318.SH,
2021-07-19,601668.SH,
2021-07-19,688008.SH,
2021-07-20,000001.SZ,-1.5776689535134898e-09
2021-07-20,000333.SZ,5.403818525224997e-09
2021-07-20,000858.SZ,8.659318085330683e-07
2021-07-20,002027.SZ,-4.460293968406176e-11
2021-07-20,002230.SZ,-3.9144970517081726e-08
2021-07-20,002415.SZ,8.671122867219506e-08
2021-07-20,002594.SZ,5.0233098598799005e-08
2021-07-20,002714.SZ,-2.188713903457707e-08
2021-07-20,300015.SZ,1.7817499208851557e-08
2021-07-20,300124.SZ,4.0306023795540374e-07
2021-07-20,300750.SZ,-8.406377054749541e-07
2021-07-20,600030.SH,3.23052631125538e-10
2021-07-20,600050.SH,1.5874357886192544e-11
2021-07-20,600276.SH,5.931730146474763e-08
2021-07-20,600309.SH,-4.784515278141539e-07
2021-07-20,600900.SH,2.067507466163162e-10
2021-07-20,601088.SH,-1.8087869902995659e-09
2021-07-20,601318.SH,-4.24873402081508e-09
2021-07-20,601668.SH,4.227277441071304e-12
2021-07-20,688008.SH,1.4719617380531443e-08
2021-07-21,000001.SZ,-1.6277092316348055e-09
2021-07-21,000333.SZ,-1.7167501489340656e-09
2021-07-21,000858.SZ,7.776712291644105e-07
2021-07-21,002027.SZ,3.6339820648174416e-12
2021-07-21,002230.SZ,-1.8407101088039502e-08
2021-07-21,002415.SZ,9.912817043622269e-08
2021-07-21,002594.SZ,1.6166480147996813e-07
2021-07-21,002714.SZ,-2.1419690404265628e-08
2021-07-21,300015.SZ,1.6630822442073187e-08
2021-07-21,300124.SZ,4.2073735272277345e-07
2021-07-21,300750.SZ,1.1402710192001047e-06
2021-07-21,600030.SH,3.6709519334209183e-10
2021-07-21,600050.SH,7.888727911322904e-12
2021-07-21,600276.SH,5.7780634570899587e-08
2021-07-21,600309.SH,-2.9307922167787047e-07
2021-07-21,600900.SH,-4.356162368449377e-11
2021-07-21,601088.SH,-1.759245967193297e-09
2021-07-21,601318.SH,-3.851978619197558e-09
2021-07-21,601668.SH,1.3958194214246098e-12
2021-07-21,688008.SH,1.5996697725439561e-07
2021-07-22,000001.SZ,-1.2073823450800759e-09
2021-07-22,000333.SZ,-6.558938275945005e-09
2021-07-22,000858.SZ,4.4328115527004156e-07
2021-07-22,002027.SZ,8.159881876360626e-11
2021-07-22,002230.SZ,5.85325008987634e-08
2021-07-22,002415.SZ,9.129065730712943e-08
2021-07-22,002594.SZ,1.6956470449939086e-07
2021-07-22,002714.SZ,-2.0421835112903254e-08
2021-07-22,300015.SZ,1.1967100400638973e-08
2021-07-22,300124.SZ,2.890150485709172e-07
2021-07-22,300750.SZ,2.52404378133526e-06
2021-07-22,600030.SH,3.98209153236269e-10
2021-07-22,600050.SH,5.634805650944932e-12
2021-07-22,600276.SH,2.7028914688918683e-08
2021-07-22,600309.SH,-1.2398905126372354e-07
2021-07-22,600900.SH,-2.612949254448115e-10
2021-07-22,601088.SH,-1.3445336414678504e-09
2021-07-22,601318.SH,-3.1073142004321715e-09
2021-07-22,601668.SH,3.7683694884472933e-13
2021-07-22,688008.SH,3.2843622362615974e-07
2021-07-23,000001.SZ,-1.1098711828210975e-09
2021-07-23,000333.SZ,-1.2229729397098099e-08
2021-07-23,000858.SZ,-5.155161493941182e-07
2021-07-23,002027.SZ,-1.4445519562682132e-11
2021-07-23,002230.SZ,1.2078342504719008e-08
2021-07-23,002415.SZ,5.242657797077396e-08
2021-07-23,002594.SZ,2.1698028433207882e-07
2021-07-23,002714.SZ,-4.789146559199104e-08
2021-07-23,300015.SZ,-7.774099709097699e-09
2021-07-23,300124.SZ,1.7174406368878686e-07
2021-07-23,300750.SZ,1.8468283375212427e-06
2021-07-23,600030.SH,8.035832993652619e-10
2021-07-23,600050.SH,7.2679198451204526e-12
2021-07-23,600276.SH,6.1180369474832384e-09
2021-07-23,600309.SH,-1.989221746566749e-07
2021-07-23,600900.SH,-4.153016414490731e-10
2021-07-23,601088.SH,-3.884994102823656e-10
2021-07-23,601318.SH,-2.5409810801294425e-09
2021-07-23,601668.SH,4.373896606205684e-12
2021-07-23,688008.SH,3.49379012131241e-07
2021-07-26,000001.SZ,-2.7523822181002233e-09
2021-07-26,000333.SZ,-2.7963256067631312e-08
2021-07-26,000858.SZ,-2.199160293872688e-06
2021-07-26,002027.SZ,-1.2563803548773749e-10
2021-07-26,002230.SZ,3.569833338021376e-08
2021-07-26,002415.SZ,3.088222083919609e-08
2021-07-26,002594.SZ,1.1110386093132028e-07
2021-07-26,002714.SZ,-5.0382822315132445e-08
2021-07-26,300015.SZ,-4.234717274441816e-08
2021-07-26,300124.SZ,4.00717764903661e-08
2021-07-26,300750.SZ,-1.8094603825432086e-06
2021-07-26,600030.SH,-6.636759420408238e-11
2021-07-26,600050.SH,-1.4334559820321664e-11
2021-07-26,600276.SH,-1.3155457595805312e-08
2021-07-26,600309.SH,-4.606316771933249e-07
2021-07-26,600900.SH,-2.966440296064808e-10
2021-07-26,601088.SH,-1.7014391891072945e-09
2021-07-26,601318.SH,-1.1906118331412689e-08
2021-07-26,601668.SH,5.519884516087645e-14
2021-07-26,688008.SH,3.819585512897816e-07
2021-07-27,000001.SZ,-3.68673235650263e-09
2021-07-27,000333.SZ,-3.872832361580705e-08
2021-07-27,000858.SZ,-2.9590850611759254e-06
2021-07-27,002027.SZ,-2.2139364558728805e-10
2021-07-27,002230.SZ,-6.394044349723038e-08
2021-07-27,002415.SZ,-2.1528633356579158e-08
2021-07-27,002594.SZ,3.3055325511323127e-08
2021-07-27,002714.SZ,-6.369378804595894e-08
2021-07-27,300015.SZ,-3.8390426499663715e-08
2021-07-27,300124.SZ,-1.457359223356866e-08
2021-07-27,300750.SZ,-4.186808419193983e-06
2021-07-27,600030.SH,-1.1115512635465242e-09
2021-07-27,600050.SH,-1.4349920837549393e-11
2021-07-27,600276.SH,-6.680551422280067e-08
2021-07-27,600309.SH,-4.90466919320609e-07
2021-07-27,600900.SH,-8.871732121981423e-10
2021-07-27,601088.SH,-1.769010336944204e-09
2021-07-27,601318.SH,-1.7921880048318086e-08
2021-07-27,601668.SH,-7.011856466831108e-12
2021-07-27,688008.SH,6.883050270951329e-07
2021-07-28,000001.SZ,-2.920843183131834e-09
2021-07-28,000333.SZ,-3.518370948602452e-08
2021-07-28,000858.SZ,-2.72805062629888e-06
2021-07-28,002027.SZ,-2.0616150411087113e-10
2021-07-28,002230.SZ,-1.0058103855384022e-07
2021-07-28,002415.SZ,-5.304547677413474e-08
2021-07-28,002594.SZ,-2.077196709324486e-07
2021-07-28,002714.SZ,-8.358038501578403e-08
2021-07-28,300015.SZ,-2.9238718039547744e-08
2021-07-28,300124.SZ,-9.4054736750565e-08
2021-07-28,300750.SZ,-4.610009389400084e-06
2021-07-28,600030.SH,-9.659918013345081e-10
2021-07-28,600050.SH,-1.7752146837521192e-11
2021-07-28,600276.SH,-7.440576589967576e-08
2021-07-28,600309.SH,-5.550849135593348e-07
2021-07-28,600900.SH,-6.593777358876553e-10
2021-07-28,601088.SH,-2.3207699116805132e-09
2021-07-28,601318.SH,-1.3846233005059404e-08
2021-07-28,601668.SH,-8.109788887604906e-12
2021-07-28,688008.SH,-1.5281078692157864e-08
2021-07-29,000001.SZ,-1.953019183368533e-09
2021-07-29,000333.SZ,-1.5473123358565456e-08
2021-07-29,000858.SZ,-1.3018927874347606e-06
2021-07-29,002027.SZ,-1.884855194027977e-11
2021-07-29,002230.SZ,-4.5965201416475376e-08
