trade_date,trade_symbol,factor_value
2021-07-19,000001.SZ,0.0
2021-07-19,000333.SZ,0.0
2021-07-19,000858.SZ,0.0
2021-07-19,002027.SZ,0.0
2021-07-19,002230.SZ,0.0
2021-07-19,002415.SZ,0.0
2021-07-19,002594.SZ,0.0
2021-07-19,002714.SZ,0.0
2021-07-19,300015.SZ,0.0
2021-07-19,300124.SZ,0.0
2021-07-19,300750.SZ,0.0
2021-07-19,600030.SH,0.0
2021-07-19,600050.SH,0.0
2021-07-19,600276.SH,0.0
2021-07-19,600309.SH,0.0
2021-07-19,600900.SH,0.0
2021-07-19,601088.SH,0.0
2021-07-19,601318.SH,0.0
2021-07-19,601668.SH,0.0
2021-07-19,688008.SH,0.0
2021-07-20,000001.SZ,10.750853242320265
2021-07-20,000333.SZ,-25.423728813559233
2021-07-20,000858.SZ,-16.692426584234887
2021-07-20,002027.SZ,-27.10843373493963
2021-07-20,002230.SZ,-37.097242380261086
2021-07-20,002415.SZ,7.508939213349267
2021-07-20,002594.SZ,-36.75991076025399
2021-07-20,002714.SZ,-43.46477625166133
2021-07-20,300015.SZ,-43.34448160535103
2021-07-20,300124.SZ,4.343790607016745
2021-07-20,300750.SZ,-4.563767713253448
2021-07-20,600030.SH,-21.428571428572095
2021-07-20,600050.SH,-56.69291338582666
2021-07-20,600276.SH,26.830337571240992
2021-07-20,600309.SH,-9.123162696401224
2021-07-20,600900.SH,-10.465116279068974
2021-07-20,601088.SH,-28.03738317757046
2021-07-20,601318.SH,-37.16448726772206
2021-07-20,601668.SH,7.355227538141676e-13
2021-07-20,688008.SH,-35.39325842696641
2021-07-21,000001.SZ,-8.246445497630633
2021-07-21,000333.SZ,24.219414408941702
2021-07-21,000858.SZ,-19.52792845623775
2021-07-21,002027.SZ,25.129265770423547
2021-07-21,002230.SZ,-27.788518113810156
2021-07-21,002415.SZ,59.075648708857706
2021-07-21,002594.SZ,-7.0159871975659955
2021-07-21,002714.SZ,22.652335233140743
2021-07-21,300015.SZ,-17.453098351336195
2021-07-21,300124.SZ,-12.66417975188677
2021-07-21,300750.SZ,14.477447744774746
2021-07-21,600030.SH,-8.153770812929345
2021-07-21,600050.SH,-60.68237205523971
2021-07-21,600276.SH,-12.308070261638669
2021-07-21,600309.SH,-29.071421563818255
2021-07-21,600900.SH,5.327298050139693
