trade_date,trade_symbol,open,high,low,close,vwap,volume,amount
2021-07-19,600050.SH,3.64,3.74,3.61,3.74,3.6797530552281974,131487393.0,558875323.0
2021-07-20,600050.SH,3.71,3.72,3.67,3.68,3.681595358176396,62994674.0,267843430.0
2021-07-21,600050.SH,3.68,3.7,3.66,3.67,3.6779142363311417,49688013.0,210633542.0
2021-07-22,600050.SH,3.67,3.7,3.66,3.69,3.6855627109959275,64628492.0,274986302.0
2021-07-23,600050.SH,3.69,3.72,3.67,3.68,3.6966300121666116,66075189.0,281424846.0
2021-07-26,600050.SH,3.66,3.66,3.57,3.59,3.613817202859153,105354405.0,439060909.0
2021-07-27,600050.SH,3.6,3.62,3.57,3.58,3.597744550571602,69500801.0,288461036.0
2021-07-28,600050.SH,3.59,3.62,3.52,3.61,3.5918581920816863,95210124.0,395030989.0
2021-07-29,600050.SH,3.61,3.62,3.56,3.57,3.578743086360468,72836856.0,300822775.0
2021-07-30,600050.SH,3.56,3.59,3.53,3.57,3.5607000724702615,51617597.0,212110504.0
2021-08-02,600050.SH,3.57,3.64,3.54,3.61,3.593369042822988,90565376.0,375917782.0
2021-08-03,600050.SH,3.61,3.68,3.6,3.67,3.6452781724952565,87863604.0,369159451.0
2021-08-04,600050.SH,3.67,3.67,3.63,3.64,3.6453395459467814,45759379.0,192471316.0
2021-08-05,600050.SH,3.64,3.67,3.61,3.63,3.6308678556661818,64077542.0,268549090.0
2021-08-06,600050.SH,3.63,3.64,3.59,3.61,3.6110335257848405,57899887.0,240932488.0
2021-08-09,600050.SH,3.61,3.67,3.61,3.66,3.6520393402641025,69388752.0,292183636.0
2021-08-10,600050.SH,3.65,3.65,3.61,3.63,3.6250494407330813,83334982.0,348697375.0
2021-08-11,600050.SH,3.63,3.68,3.61,3.68,3.647655103265699,103955584.0,436897569.0
2021-08-12,600050.SH,3.67,3.69,3.66,3.68,3.6733548276373353,77858493.0,330301074.0
2021-08-13,600050.SH,3.68,3.68,3.65,3.67,3.6685883626716866,62802535.0,265552541.0
2021-08-16,600050.SH,3.67,3.68,3.65,3.66,3.666152617216919,53355161.0,225537281.0
2021-08-17,600050.SH,3.64,3.66,3.6,3.61,3.632040551766587,104604335.0,437810830.0
2021-08-18,600050.SH,3.61,3.64,3.59,3.63,3.613394572039429,79271216.0,330626992.0
2021-08-19,600050.SH,3.67,3.75,3.66,3.75,3.7170529937310013,259100877.0,1112049872.0
2021-08-20,600050.SH,3.72,3.72,3.59,3.62,3.636854270640755,279097605.0,1172059664.0
2021-08-23,600050.SH,3.6,3.61,3.58,3.59,3.5972908819693834,161417323.0,669624893.0
2021-08-24,600050.SH,3.59,3.61,3.57,3.6,3.5897796122670065,136452232.0,564669105.0
2021-08-25,600050.SH,3.61,3.61,3.57,3.6,3.592737289055504,94603995.0,391814527.0
2021-08-26,600050.SH,3.59,3.61,3.57,3.6,3.5953802297736055,104933953.0,434917072.0
2021-08-27,600050.SH,3.6,3.61,3.58,3.6,3.5987480500511855,76650645.0,317989553.0
2021-08-30,600050.SH,3.61,3.61,3.58,3.6,3.59504256096969,84586764.0,350551672.0
