trade_date,trade_symbol,open,high,low,close,vwap,volume,amount,benchmark_open,benchmark_close
2021-07-19,600276.SH,58.65,59.79,57.84,59.75,58.66061092643325,50233330.0,3006391945.0,5083.728,5113.495
2021-07-20,600276.SH,59.64,61.93,59.3,61.93,61.22034284743972,79808081.0,4984495029.0,5080.216,5108.994
2021-07-21,600276.SH,62.73,63.19,61.42,61.73,62.20281359949375,55457124.0,3519441511.0,5122.784,5144.043
2021-07-22,600276.SH,61.71,61.71,60.06,60.07,60.48008908306491,47000640.0,2899861917.0,5150.386,5151.752
2021-07-23,600276.SH,59.98,60.62,59.04,60.27,59.886847196731715,36112011.0,2206411058.0,5145.431,5089.228
2021-07-26,600276.SH,60.09,60.09,57.43,58.05,58.5313205025515,46401001.0,2770651170.0,5067.307,4925.299
2021-07-27,600276.SH,58.04,58.4,53.04,53.42,55.37092281870895,81094644.0,4581066032.0,4924.282,4751.313
2021-07-28,600276.SH,52.9,55.15,52.54,54.8,54.09569567539835,52392023.0,2891590652.0,4714.295,4760.483
2021-07-29,600276.SH,56.46,56.75,53.59,54.02,54.61793311527379,53012507.0,2953856786.0,4845.76,4850.275
2021-07-30,600276.SH,53.5,53.79,51.95,53.3,52.89590726854152,48423569.0,2613309578.0,4825.7,4811.17
2021-08-02,600276.SH,52.91,55.14,51.21,54.16,53.15635408466692,60414095.0,3276024089.0,4794.819,4933.736
2021-08-03,600276.SH,54.02,56.26,53.52,56.26,55.25544872870597,54998221.0,3100529848.0,4909.233,4934.458
2021-08-04,600276.SH,56.46,56.63,54.69,55.21,55.135144129506315,47326782.0,2662303075.0,4927.736,4978.848
2021-08-05,600276.SH,55.22,56.34,54.39,54.69,55.46740577184719,38578877.0,2183301491.0,4946.167,4948.67
2021-08-06,600276.SH,54.4,54.44,53.2,53.71,53.563301322551354,34743825.0,1898761300.0,4943.043,4921.565
2021-08-09,600276.SH,53.42,56.77,53.18,55.79,55.44376754896215,53900047.0,3048950741.0,4890.257,4985.563
2021-08-10,600276.SH,55.96,56.65,54.64,56.6,55.72521509577135,56306095.0,3200866127.0,4977.816,5043.148
2021-08-11,600276.SH,56.07,57.21,55.64,55.76,56.1422701206752,39412559.0,2257552049.0,5037.082,5015.341
2021-08-12,600276.SH,55.41,56.53,54.52,54.69,55.266828497294895,40083644.0,2260258000.0,4998.073,4973.351
2021-08-13,600276.SH,54.46,55.53,54.18,55.41,55.12771173774158,33859164.0,1904307300.0,4958.758,4945.983
2021-08-16,600276.SH,55.41,55.97,54.94,55.35,55.452230104095875,25064484.0,1418005605.0,4935.923,4941.068
2021-08-17,600276.SH,55.09,55.31,53.57,53.67,54.286768776150694,36297864.0,2010145944.0,4935.004,4837.403
2021-08-18,600276.SH,53.73,54.12,52.69,53.9,53.45352212285256,33002061.0,1799750670.0,4838.471,4894.238
2021-08-19,600276.SH,53.58,54.36,52.71,52.77,53.378466459606095,33210110.0,1808649296.0,4886.564,4862.139
2021-08-20,600276.SH,49.01,49.32,47.5,47.5,47.78453395667007,140676443.0,6858016624.0,4817.494,4769.268
2021-08-23,600276.SH,46.61,47.24,44.6,46.25,45.84818272799958,134200961.0,6276592761.0,4777.735,4835.878
2021-08-24,600276.SH,45.98,47.21,45.19,46.26,46.07259404172684,97395100.0,4578425410.0,4844.593,4888.39
2021-08-25,600276.SH,46.27,47.16,45.78,46.47,46.45470206857566,63107053.0,2990920447.0,4890.521,4898.157
2021-08-26,600276.SH,46.08,46.17,44.35,44.41,44.91603867353838,80436521.0,3686107652.0,4892.204,4801.609
2021-08-27,600276.SH,44.6,45.97,44.59,45.14,45.27597829680892,53830432.0,2486358727.0,4794.974,4827.043
2021-08-30,600276.SH,44.91,45.36,44.36,44.7,44.65973901954432,44456861.0,2025406947.0,4847.035,4813.27
2021-08-31,600276.SH,44.55,45.23,43.45,44.3,44.23315279306967,49574185.0,2237371941.0,4803.085,4805.61
2021-09-01,600276.SH,44.5,46.26,44.03,45.67,45.308788009115595,73127061.0,3380043296.0,4804.686,4869.459
2021-09-02,600276.SH,45.68,45.68,44.6,44.95,44.93346803843138,46575210.0,2135153563.0,4865.822,4869.411
2021-09-03,600276.SH,44.42,45.91,44.16,45.19,45.21712456922573,46235755.0,2132747685.0,4875.066,4843.062
2021-09-06,600276.SH,45.27,47.92,45.27,47.15,46.73882010500454,86663569.0,4132165375.0,4841.062,4933.726
2021-09-07,600276.SH,47.15,47.37,46.25,47.13,46.778035690536896,48897172.0,2333419067.0,4932.976,4992.829
2021-09-08,600276.SH,47.13,47.36,46.66,46.8,46.90173802315468,33106871.0,1584289690.0,4986.795,4972.132
2021-09-09,600276.SH,46.77,47.21,46.36,46.5,46.62782989367193,30166033.0,1435010678.0,4952.492,4970.013
2021-09-10,600276.SH,46.46,47.0,46.16,46.51,46.47802483179207,33788585.0,1602166127.0,4967.976,5013.522
2021-09-13,600276.SH,46.51,46.99,45.58,45.82,46.19480689381514,40587103.0,1912968153.0,5006.775,4991.66
2021-09-14,600276.SH,45.84,46.58,45.8,45.87,46.11800464958482,48735457.0,2293151060.0,4989.835,4917.162
2021-09-15,600276.SH,45.75,45.78,44.6,44.81,44.961418678859914,44832955.0,2056689111.0,4903.847,4867.319
2021-09-16,600276.SH,44.99,45.53,44.48,45.24,44.95957510274645,55890581.0,2563361939.0,4866.794,4807.698
2021-09-17,600276.SH,44.92,46.66,44.79,46.02,45.800084196167454,63532750.0,2968608405.0,4797.113,4855.94
2021-09-22,600276.SH,46.02,47.2,45.69,46.95,46.58408877060183,58051309.0,2758986266.0,4770.732,4821.768
2021-09-23,600276.SH,47.05,47.82,46.34,46.84,47.05370822219727,58686781.0,2817437483.0,4848.222,4853.196
2021-09-24,600276.SH,46.75,49.11,46.61,48.81,48.54008587531517,92719699.0,4591907051.0,4845.638,4849.428
2021-09-27,600276.SH,48.85,51.13,48.23,49.74,49.84109706176076,88159053.0,4483165537.0,4870.848,4877.37
2021-09-28,600276.SH,50.48,50.48,48.35,49.39,49.08687680669879,54276640.0,2718214267.0,4869.085,4883.828
2021-09-29,600276.SH,48.91,49.44,47.79,48.93,48.64472826433962,48439125.0,2403983221.0,4846.021,4833.928
2021-09-30,600276.SH,48.95,49.63,48.46,49.23,49.251654119789954,41122129.0,2066473091.0,4843.953,4866.383
2021-10-08,600276.SH,49.85,53.64,49.09,53.12,51.97138392068388,112430883.0,5960888355.0,4915.731,4929.941
