Date,Open,High,Low,Close,Volume,Alpha2,Alpha5,Alpha9,Alpha11,Alpha14,Alpha15,Alpha20,Alpha29,Alpha31,Alpha46,Alpha60,Alpha80,Alpha168,Alpha191
2021-07-19,17.2,17.26,16.74,17.08,52213595.0,,,,,,,,,,,,,,
2021-07-20,16.99,17.08,16.49,16.59,80403433.0,0.9687092568448368,,-1.5776689535134898e-09,,,-0.005269320843091285,,,,,,,,
2021-07-21,16.58,16.75,16.27,16.47,75307652.0,-0.4943502824858671,,-1.6277092316348055e-09,,,-0.0006027727546715766,,,,,,,,
2021-07-22,16.47,16.64,16.3,16.41,86864809.0,0.18627450980392093,,-1.2073823450800759e-09,,,0.0,,,,,,,,
2021-07-23,16.41,16.41,16.11,16.19,72740433.0,0.11372549019606432,,-1.1098711828210975e-09,,,0.0,,,,,,,,
2021-07-26,16.08,16.1,14.84,15.14,145130394.0,0.057142857142867653,,-2.7523822181002233e-09,-190257971.63170385,-1.9399999999999977,-0.006794317479926093,,,,,,177.9551838941563,,
2021-07-27,15.2,15.3,14.18,14.3,135755148.0,0.26190476190476086,,-3.68673235650263e-09,-312988452.3130219,-2.289999999999999,0.003963011889035473,-16.276346604215444,-22095978.42154565,,,,68.84247716139186,,
2021-07-28,14.38,14.55,14.24,14.3,106299421.0,-0.17281105990783507,,-2.920843183131834e-09,-324991678.3622292,-2.169999999999998,0.005594405594405494,-13.80349608197709,-14673036.412899332,,,,41.153545724676164,,
2021-07-29,14.43,14.69,14.32,14.47,87237812.0,-0.4237140366172635,,-1.953019183368533e-09,-328944853.9478142,-1.9399999999999995,0.009090909090909038,-12.143290831815412,-10593541.226472365,,,,0.42940634336742745,,
2021-07-30,14.43,14.54,13.89,14.25,95015588.0,-0.2968814968814939,,-1.9618379887236473e-09,-288054238.12699944,-1.9400000000000013,-0.0027643400138217533,-13.16270566727605,-12506622.186471663,,,,30.62279681508082,,
2021-08-02,14.21,14.61,13.84,14.51,115992263.0,-0.6325674325674326,-0.27950849718747267,-1.382346066795263e-09,-168244300.24648064,-0.6300000000000008,-0.0028070175438595912,-10.37677578752317,-12036257.062384197,,,,-20.07720794859828,,
2021-08-03,14.49,14.62,14.22,14.41,89694857.0,0.7902597402597402,-0.27950849718747267,-7.38928597064805e-10,-96708360.52505207,0.10999999999999943,-0.001378359751895264,-4.821664464993398,-4324785.046895643,-6.08298935476863,,,-33.92894610523352,,
2021-08-04,14.53,14.55,14.18,14.34,72962008.0,0.08513513513513758,-0.32025630761017365,-6.074953635994764e-10,96667.8069939278,0.03999999999999915,0.00832755031228305,0.27972027972027375,204089.5328671285,-5.1273569302018,,,-31.36180111460814,,
2021-08-05,14.26,14.54,14.16,14.24,62157388.0,0.4438122332859144,-0.4237896897630065,-4.6012602974259255e-10,29262069.628725506,-0.23000000000000043,-0.00557880055788007,-0.419580419580423,-260800.22937063154,-4.5523096687706,,,-28.749487664821306,,
2021-08-06,14.14,14.42,14.05,14.38,56745413.0,-1.362731152204839,-0.6050832675335586,-5.429015480799893e-10,90242655.06115785,0.13000000000000078,-0.0070224719101122934,-0.6219765031098815,-352943.1354526601,-2.475415395049182,,,-40.277785788159306,,
2021-08-09,14.43,15.5,14.37,15.35,175279800.0,0.04927050944750522,-0.8823840971568189,9.015802376414694e-10,208755546.94570503,0.8399999999999999,0.00347705146036148,7.719298245614032,13530370.526315786,4.730498066863759,,,51.11335486229801,,
2021-08-10,15.38,16.09,15.22,15.89,130198844.0,0.19428338927881028,-0.967105263157895,2.0185866337215996e-09,193228450.99392122,1.4800000000000004,0.001954397394136942,9.510682288077193,12382798.395589257,8.600068344914009,,,45.157535621022284,,
2021-08-11,16.1,16.58,15.87,15.96,104830844.0,1.2867087582969043,-0.967105263157895,2.5448490311288877e-09,119459183.53406252,1.620000000000001,0.013215859030837107,10.756419153365723,11276044.982650941,8.57142857142857,,,43.678671782169154,,
2021-08-12,15.94,16.35,15.81,16.02,66645800.0,-0.5242566510172048,-0.967105263157895,1.4820728126347522e-09,114508736.56709534,1.7799999999999994,-0.0012531328320802837,11.715481171548117,7807876.150627614,7.927240062878953,,,7.221043458261148,,
2021-08-13,15.93,16.04,15.71,16.02,56288502.0,-1.1010101010101079,-0.9151753689224561,7.152394294630896e-10,199960246.05034894,1.6399999999999988,-0.005617977528089901,12.499999999999996,7036062.749999997,6.895017793594306,,-132851673.12774414,-0.8051945978435295,-0.6027367684509675,
2021-08-16,16.18,16.27,15.76,16.07,62705022.0,0.6631016042780744,-0.9081082718950217,8.362181006781538e-10,169008724.12507066,0.7200000000000006,0.009987515605493158,11.75243393602225,7369366.285118218,6.2830687830687655,,-135392782.07796976,-64.22575676147508,-0.6676942972193648,
2021-08-17,15.99,16.29,15.79,15.84,47602194.0,1.0156862745098034,-0.9081082718950217,6.723251971896314e-10,2181629.1020620093,-0.05000000000000071,-0.004978220286247725,3.1921824104234537,1519548.8638436487,3.8518275692509207,,-120326505.2949192,-63.43885050162197,-0.5158859451115545,
2021-08-18,15.84,17.08,15.75,16.61,133273216.0,-1.093233082706765,-0.9081082718950217,1.5494643790740373e-09,-29075561.45674885,0.6499999999999986,0.0,4.531151667715537,6038811.54940213,7.6648841354723665,,-68695113.99166065,27.13168273261255,-1.4003554978337631,
2021-08-19,16.5,16.61,16.12,16.38,64997561.0,0.2320085929108541,-0.9414688716912721,9.990639219764883e-10,53157891.36331357,0.35999999999999943,-0.0066225165562913135,2.6315789473684092,1710462.1315789397,5.05611972207375,0.9690552503052504,-34057503.599103674,-2.473132590500827,-0.6908928740882101,0.08816517367885623
2021-08-20,16.08,16.16,15.06,15.64,161462793.0,0.006679035250458619,-0.9414688716912721,-7.559828738117799e-10,76775130.57745537,-0.379999999999999,-0.01831501831501836,-2.372034956304613,-3829953.8913857583,-0.38216560509554454,1.0136002770673487,8695093.237259235,186.84862318773378,-1.6389874897394265,-0.846815266478508
